SNo,ObservationDate,Province/State,Country/Region,Confirmed,Deaths,Recovered,Time,latitude,longitude
266,,New South Wales,Australia,4,0,0,11:59 PM,-11.2027,17.8739
267,,Victoria,Australia,1,0,0,11:59 PM,17.0608,-61.7964
268,,Hubei,Mainland China,3554,125,80,11:00 PM,-38.4161,-63.6167
269,,Guangdong,Mainland China,207,0,4,11:00 PM,40.0691,45.0382
270,,Zhejiang,Mainland China,173,0,3,11:00 PM,-35.4735,149.0124
271,,Henan,Mainland China,168,1,0,11:00 PM,-33.8688,151.2093
272,,Hunan,Mainland China,143,0,0,11:00 PM,-12.4634,130.8456
273,,Chongqing,Mainland China,132,0,0,11:00 PM,-28.0167,153.4
274,,Jiangxi,Mainland China,109,0,3,11:00 PM,-34.9285,138.6007
275,,Anhui,Mainland China,106,0,0,11:00 PM,-41.4545,145.9707
276,,Shandong,Mainland China,95,0,0,11:00 PM,-37.8136,144.9631
277,,Beijing,Mainland China,91,1,4,11:00 PM,-31.9505,115.8605
278,,Sichuan,Mainland China,90,0,0,11:00 PM,47.5162,14.5501
279,,Fujian,Mainland China,80,0,0,11:00 PM,40.1431,47.5769
280,,Jiangsu,Mainland China,70,0,1,11:00 PM,25.0343,-77.3963
281,,Shanghai,Mainland China,66,1,4,11:00 PM,26.0275,50.55
282,,Guangxi,Mainland China,51,0,2,11:00 PM,23.685,90.3563
283,,Shaanxi,Mainland China,46,0,0,11:00 PM,13.1939,-59.5432
284,,Yunnan,Mainland China,44,0,0,11:00 PM,53.7098,27.9534
285,,Hainan,Mainland China,40,1,0,11:00 PM,50.8333,4
286,,Liaoning,Mainland China,34,0,0,11:00 PM,9.3077,2.3158
287,,Hebei,Mainland China,33,1,0,11:00 PM,27.5142,90.4336
288,,Heilongjiang,Mainland China,33,1,0,11:00 PM,-16.2902,-63.5887
289,,Shanxi,Mainland China,27,0,0,11:00 PM,43.9159,17.6791
290,,Tianjin,Mainland China,24,0,0,11:00 PM,-14.235,-51.9253
291,,Gansu,Mainland China,19,0,0,11:00 PM,4.5353,114.7277
292,,Inner Mongolia,Mainland China,15,0,0,11:00 PM,42.7339,25.4858
293,,Ningxia,Mainland China,11,0,0,11:00 PM,12.2383,-1.5616
294,,Xinjiang,Mainland China,10,0,0,11:00 PM,16.5388,-23.0418
295,,Guizhou,Mainland China,9,0,0,11:00 PM,11.55,104.9167
296,,Jilin,Mainland China,8,0,0,11:00 PM,3.848,11.5021
297,,Taiwan,Taiwan,8,0,0,11:00 PM,53.9333,-116.5765
298,,Hong Kong,Hong Kong,8,0,0,11:00 PM,49.2827,-123.1207
299,,Macau,Macau,7,0,0,11:00 PM,53.7609,-98.8139
300,,Qinghai,Mainland China,6,0,0,11:00 PM,46.5653,-66.4619
301,,Washington,US,1,0,0,11:00 PM,53.1355,-57.6604
302,,Illinois,US,1,0,0,11:00 PM,44.682,-63.7443
303,,California,US,2,0,0,11:00 PM,51.2538,-85.3232
304,,Arizona,US,1,0,0,11:00 PM,46.5107,-63.4168
305,,,Japan,7,0,1,11:00 PM,52.9399,-73.5491
306,,,Thailand,14,0,5,11:00 PM,52.9399,-106.4509
307,,,South Korea,4,0,0,11:00 PM,6.6111,20.9394
308,,,Singapore,7,0,0,11:00 PM,15.4542,18.7322
309,,,Vietnam,2,0,0,11:00 PM,-35.6751,-71.543
310,,,France,4,0,0,11:00 PM,31.8257,117.2264
311,,,Nepal,1,0,0,11:00 PM,40.1824,116.4142
312,,,Malaysia,4,0,0,11:00 PM,30.0572,107.874
313,,Ontario,Canada,1,0,0,11:00 PM,26.0789,117.9874
314,,British Columbia,Canada,1,0,0,11:00 PM,37.8099,101.0583
315,,,Cambodia,1,0,0,11:00 PM,23.3417,113.4244
316,,,Sri Lanka,1,0,0,11:00 PM,23.8298,108.7881
317,,New South Wales,Australia,4,0,0,11:00 PM,26.8154,106.8748
318,,Victoria,Australia,1,0,0,11:00 PM,19.1959,109.7453
319,,Bavaria,Germany,4,0,0,11:00 PM,39.549,116.1306
320,,Hubei,Mainland China,3554,125,88,07:30 PM,47.862,127.7615
321,,Zhejiang,Mainland China,296,0,3,07:30 PM,33.882,113.614
322,,Guangdong,Mainland China,277,0,5,07:30 PM,22.3,114.2
323,,Hunan,Mainland China,221,0,0,07:30 PM,30.9756,112.2707
324,,Henan,Mainland China,206,2,1,07:30 PM,27.6104,111.7088
325,,Anhui,Mainland China,152,0,2,07:30 PM,44.0935,113.9448
326,,Chongqing,Mainland China,147,0,1,07:30 PM,32.9711,119.455
